User-ID,ISBN,Book-Rating
2,195153448,0
7,34542252,0
8,2005018,5
8,60973129,0
8,374157065,0
8,393045218,0
8,399135782,0
8,425176428,0
8,671870432,0
8,679425608,0
8,074322678X,5
8,771025661,0
8,771074670,0
8,080652121X,0
8,887841740,5
8,1552041778,5
8,1558746218,0
8,1567407781,6
8,1575663937,6
8,1881320189,7
9,440234743,0
9,452264464,6
9,609804618,0
10,1841721522,0
10,8477024456,6
12,1879384493,10
14,61076031,5
14,439095026,5
14,689821166,6
14,971880107,0
16,345402871,9
16,345417623,0
17,312978383,0
17,425099148,7
17,553264990,5
17,553278398,0
17,684823802,0
17,891075275,6
17,891076182,3
19,375759778,7
20,425163091,0
22,3404921038,7
22,3442353866,0
22,3442410665,0
22,3442446937,0
23,375406328,0
26,446310786,10
26,449005615,9
32,60168013,8
32,038078243X,0
32,055321215X,0
